社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
2,千金,31,61,468.4,33.134927412467974,66
2,洛阳,30,89,89.3,41.19820828667413,67
2,帝城,30,73,294.4,33.39673913043478,68
2,年少,30,71,341.8,32.9256875365711,69
2,读书,30,60,446.6,32.23914017017465,70
2,青云,30,57,462.0,32.16450216450217,71
2,日月,30,50,594.8,31.68123739071957,72
2,东流,29,102,55.9,46.88908765652952,73
2,日晚,29,97,129.3,36.73395204949729,74
2,对酒,29,75,240.7,33.154549231408396,75
2,闻道,29,72,280.8,32.56125356125356,76
2,欢娱,29,73,282.8,32.53606789250354,77
2,眼前,29,70,311.2,32.2133676092545,78
2,十年,29,67,334.2,31.992220227408737,79
2,当时,29,59,440.5,31.270147559591372,80
2,百年,29,58,485.8,31.058460271716754,81
2,星辰,29,58,555.3,30.800828381055286,82
2,东海,29,50,601.4,30.6627868307283,83
2,文章,29,44,603.2,30.657824933687003,84
2,天子,29,44,640.9,30.56030581994071,85
2,才子,28,80,173.1,33.77700751010976,86
2,辛苦,28,73,304.3,31.286230693394675,87
2,知音,28,68,328.7,31.04228780042592,88
2,渭水,28,73,359.5,30.78164116828929,89
2,老去,28,66,430.8,30.321262766945217,90
2,黄河,28,67,433.9,30.30467849734962,91
2,始知,28,60,438.0,30.28310502283105,92
2,白马,28,60,455.2,30.19683655536028,93
2,古人,28,55,501.1,29.995609658750748,94
2,夫子,28,49,544.0,29.83823529411765,95
2,生死,28,55,560.2,29.785076758300608,96
2,朝廷,28,50,608.7,29.642845408247084,97
2,满眼,27,95,116.2,35.60585197934596,98
2,游子,27,75,244.3,31.09332787556283,99
2,相见,27,75,257.2,30.888024883359254,100
2,至今,27,67,356.8,29.80269058295964,101
2,雨雪,27,65,453.2,29.206531332744923,102
2,大道,27,62,485.8,29.058460271716754,103
2,万古,27,60,496.5,29.01409869083585,104
2,出入,27,55,513.2,28.948558067030397,105
2,十载,27,55,535.4,28.867762420620096,106
2,乾坤,27,46,620.0,28.612903225806452,107
2,圣人,27,47,634.4,28.576292559899116,108
2,天下,27,38,641.9,28.557875058420315,109
2,所思,26,83,148.5,32.73400673400673,110
2,马蹄,26,65,385.7,28.592688618096968,111
2,咫尺,26,62,455.6,28.19490781387182,112
2,昆仑,26,64,459.0,28.17864923747277,113
2,自然,26,46,589.7,27.695777513990166,114
2,杯酒,25,69,323.2,28.094059405940595,115
2,叹息,25,71,359.9,27.77854959711031,116
2,人情,25,67,402.1,27.486943546381497,117
2,憔悴,25,62,443.4,27.255299954894,118
2,归来,25,56,472.0,27.11864406779661,119
2,神仙,25,56,497.8,27.00883889112093,120
2,功成,25,44,594.3,26.682651859330306,121
2,明主,25,50,597.1,26.674761346508124,122
2,阳城,24,81,176.1,29.678591709256104,123
2,心事,24,66,399.0,26.506265664160402,124
2,岁寒,24,66,421.3,26.373605506764775,125
2,得意,24,58,494.2,26.023472278429786,126
2,家贫,24,60,495.5,26.01816347124117,127
2,圣主,24,55,572.2,25.747640685075147,128
2,纵横,24,49,581.0,25.72117039586919,129
2,万国,24,53,583.4,25.71408981830648,130
2,草木,24,47,603.3,25.65755014089176,131
2,文字,24,47,624.9,25.600256040966556,132
2,百尺,23,76,243.4,27.108463434675432,133
2,羽翼,23,62,426.0,25.347417840375588,134
2,兄弟,23,62,470.5,25.12539851222104,135
2,君心,23,60,488.9,25.045408058907753,136
2,旌旗,23,60,495.1,25.019793981013937,137
2,岁月,23,57,509.1,24.964250638381458,138
2,饮酒,23,57,532.5,24.877934272300468,139
2,太平,23,58,547.3,24.827151470856933,140
2,苍生,23,48,599.3,24.668613382279325,141
2,衣冠,23,52,603.6,24.656726308813784,142
2,造化,23,38,636.8,24.57035175879397,143
2,十里,22,73,269.2,25.714710252600298,144
2,明时,22,68,308.7,25.239390994493036,145
2,西山,22,64,365.4,24.736726874657908,146
2,老人,22,65,397.3,24.51698968034231,147
2,青松,22,59,492.1,24.03210729526519,148
2,人皆,22,51,566.3,23.76584849019954,149
2,万物,22,35,664.8,23.504211793020456,150
2,当年,21,78,220.3,25.53926463912846,151
2,头白,21,71,338.4,23.955082742316783,152
2,古今,21,64,401.6,23.49003984063745,153
2,相亲,21,59,449.3,23.22568439795237,154
2,往来,21,58,500.0,23.0,155
2,千载,21,52,507.9,22.968891514077576,156
2,百里,21,46,539.6,22.85322461082283,157
2,龙门,21,55,544.5,22.836547291092746,158
2,诸侯,21,49,550.8,22.815541031227305,159
2,相知,21,54,566.8,22.764290755116445,160
